event_id,customer_id,event_type,event_time
90001,10379,bill_pay,2024-08-05 20:28:01.005355
90002,10170,login,2025-08-03 04:20:22.036741
90003,10116,login,2025-08-22 15:24:11.880185
90004,10322,login,2025-04-27 23:18:24.167892
90005,10116,login,2024-08-16 10:38:47.626461
90006,10221,transfer,2025-02-21 01:44:23.639451
90007,10395,login,2025-04-04 00:26:21.047133
90008,10357,login,2024-06-13 16:57:22.405061
90009,10050,login,2025-08-30 00:50:55.168898
90010,10327,login,2024-10-18 23:49:46.912623
90011,10419,login,2024-09-16 12:50:03.882013
90012,10478,login,2025-05-31 00:13:23.602552
90013,10336,fund_request,2025-06-25 19:18:49.362594
90014,10079,login,2024-11-21 12:43:06.438201
90015,10488,transfer,2025-12-28 05:19:20.321800
90016,10020,bill_pay,2025-11-01 11:11:50.317110
90017,10412,login,2024-12-19 00:22:09.122583
90018,10379,login,2024-12-31 03:56:47.930528
90019,10037,login,2025-08-25 20:53:59.463267
90020,10259,transfer,2026-01-30 05:56:01.506988
90021,10093,transfer,2025-02-18 10:25:47.806193
90022,10187,login,2024-11-24 11:19:27.512478
90023,10357,bill_pay,2024-09-22 03:48:08.222792
90024,10201,bill_pay,2024-05-11 17:13:25.151809
90025,10411,login,2024-06-18 23:30:27.742064
90026,10288,bill_pay,2024-12-20 03:46:40.523226
90027,10048,login,2025-04-26 08:23:26.846124
90028,10253,transfer,2025-01-01 05:22:48.459884
90029,10046,login,2024-05-07 16:43:58.623178
90030,10370,transfer,2025-11-03 05:30:46.884603
90031,10231,login,2024-09-22 05:17:42.185532
90032,10095,transfer,2025-03-16 17:09:02.026049
90033,10303,login,2026-01-31 21:40:46.252867
90034,10218,bill_pay,2025-04-26 07:42:10.416134
90035,10040,login,2025-11-09 22:13:31.576436
90036,10387,login,2025-03-28 10:45:21.382174
90037,10203,login,2025-01-21 05:57:29.454416
90038,10116,login,2024-09-30 04:13:09.556976
90039,10413,bill_pay,2026-03-07 02:37:16.771617
90040,10091,fund_request,2025-06-21 21:50:38.931180
90041,10058,bill_pay,2025-03-12 16:47:49.807244
90042,10434,bill_pay,2024-06-07 00:51:56.062148
90043,10495,login,2025-02-02 10:22:01.265115
90044,10010,login,2024-11-03 19:55:41.597299
90045,10256,transfer,2024-06-30 03:42:23.002842
90046,10317,fund_request,2024-06-17 20:59:17.192986
90047,10249,transfer,2025-09-26 08:12:35.369465
90048,10483,login,2026-03-16 07:44:05.342462
90049,10367,login,2024-04-19 01:28:21.049530
90050,10377,login,2024-05-10 10:11:17.567698
