txn_id,customer_id,amount,txn_date,txn_type
50001,10072,11.57,2024-03-28,debit
50002,10039,275.29,2025-12-13,debit
50003,10154,380.56,2025-04-06,debit
50004,10250,67.41,2025-09-13,debit
50005,10162,204.58,2025-08-30,debit
50006,10438,75.42,2024-08-29,credit
50007,10118,633.88,2026-02-15,credit
50008,10259,6.8,2025-12-17,credit
50009,10379,173.4,2025-04-02,debit
50010,10306,36.43,2025-08-04,debit
50011,10268,249.11,2025-06-13,credit
50012,10449,38.69,2025-01-29,debit
50013,10054,53.68,2025-09-01,credit
50014,10236,136.39,2025-03-06,debit
50015,10389,492.63,2025-07-17,debit
50016,10478,47.58,2025-06-30,credit
50017,10222,31.15,2024-07-05,credit
50018,10251,284.57,2025-11-13,credit
50019,10313,138.88,2025-12-31,credit
50020,10401,485.6,2025-06-10,debit
50021,10112,31.71,2024-03-27,debit
50022,10255,207.65,2026-01-31,credit
50023,10303,53.02,2025-03-23,debit
50024,10407,34.1,2025-02-25,debit
50025,10207,230.04,2025-03-16,debit
50026,10229,180.13,2024-07-17,debit
50027,10341,281.16,2025-09-19,debit
50028,10398,74.06,2024-11-08,debit
50029,10066,118.83,2024-11-15,credit
50030,10075,104.0,2024-10-08,credit
50031,10435,828.15,2025-03-24,debit
50032,10103,69.13,2025-04-25,debit
50033,10422,69.86,2024-12-20,debit
50034,10192,87.56,2025-11-06,debit
50035,10252,166.3,2024-05-15,debit
50036,10226,58.16,2025-02-06,debit
50037,10294,493.7,2025-05-11,debit
50038,10306,61.76,2024-05-22,debit
50039,10098,452.32,2025-03-18,debit
50040,10338,21.85,2024-11-05,debit
50041,10286,213.75,2026-03-05,debit
50042,10335,475.0,2025-09-14,debit
50043,10347,36.96,2024-03-31,debit
50044,10435,690.46,2025-01-07,credit
50045,10447,120.62,2024-04-14,debit
50046,10482,582.7,2025-04-24,credit
50047,10308,225.91,2025-11-12,debit
50048,10249,71.79,2025-10-18,credit
50049,10166,41.73,2026-02-21,debit
50050,10481,72.41,2025-06-28,credit
50051,10472,19.53,2025-12-29,debit
50052,10335,31.07,2025-05-04,credit
50053,10030,22.11,2025-07-10,debit
50054,10247,109.96,2025-02-15,debit
50055,10106,317.51,2024-11-23,credit
50056,10051,30.49,2025-11-12,debit
50057,10081,27.93,2025-11-05,credit
50058,10133,206.24,2025-11-26,debit
50059,10285,43.93,2024-11-16,debit
